[SECTION] STD DATATYPES
MPI_C_BOOL 0x2aaaab57c800
MPI_CHAR 0x2aaaab57ea00
MPI_WCHAR 0x2aaaab57cc00
MPI_CHARACTER 0x2aaaab57a800
MPI_UNSIGNED_CHAR 0x2aaaab57e600
MPI_SIGNED_CHAR 0x2aaaab57e800
MPI_INT 0x2aaaab57de00
MPI_LONG 0x2aaaab57da00
MPI_LONG_LONG_INT 0x6ac940
MPI_LONG_LONG 0x6ac940
MPI_SHORT 0x2aaaab57e200
MPI_UNSIGNED_SHORT 0x2aaaab57e000
MPI_UNSIGNED 0x2aaaab57dc00
MPI_UNSIGNED_LONG 0x2aaaab57d800
MPI_UNSIGNED_LONG_LONG 0x2aaaab57d400
MPI_INTEGER 0x2aaaab57a600
MPI_FLOAT 0x2aaaab57d200
MPI_DOUBLE 0x6ad940
MPI_REAL 0x2aaaab57a400
MPI_DOUBLE_PRECISION 0x2aaaab57a200
MPI_LONG_DOUBLE 0x2aaaab57ce00
MPI_LOGICAL 0x2aaaab57aa00
MPI_COMPLEX 0x2aaaab57b600
MPI_DOUBLE_COMPLEX 0x2aaaab57b400
MPI_BYTE 0x6ae980
MPI_PACKED 0x2aaaab57ca00
MPI_INT8_T 0x2aaaab577000
MPI_INT16_T 0x2aaaab576c00
MPI_INT32_T 0x2aaaab576800
MPI_INT64_T 0x2aaaab576400
MPI_UINT8_T 0x2aaaab576e00
MPI_UINT16_T 0x2aaaab576a00
MPI_UINT32_T 0x2aaaab576600
MPI_UINT64_T 0x2aaaab576200
MPI_C_COMPLEX 0x2aaaab57c200
MPI_C_FLOAT_COMPLEX 0x2aaaab57c400
MPI_C_DOUBLE_COMPLEX 0x2aaaab57c000
MPI_C_LONG_DOUBLE_COMPLEX 0x2aaaab57be00
MPI_AINT 0x2aaaab576000
MPI_OFFSET 0x2aaaab575e00
MPI_COUNT 0x2aaaab575c00
MPI_CXX_BOOL 0x2aaaab57c600
MPI_CXX_FLOAT_COMPLEX 0x2aaaab57bc00
MPI_CXX_DOUBLE_COMPLEX 0x2aaaab57ba00
MPI_CXX_LONG_DOUBLE_COMPLEX 0x2aaaab57b800
[END] STD DATATYPES
[SECTION] STD OPS
MPI_MAX 0x6acb40
MPI_MIN 0x2aaaab593700
MPI_SUM 0x6ae140
MPI_PROD 0x2aaaab592700
MPI_LAND 0x2aaaab591f00
MPI_BAND 0x2aaaab591700
MPI_LOR 0x2aaaab590f00
MPI_BOR 0x2aaaab590700
MPI_LXOR 0x2aaaab58ff00
MPI_BXOR 0x2aaaab58f700
MPI_MAXLOC 0x2aaaab58ef00
MPI_MINLOC 0x2aaaab58e700
[END] STD OPS
[SECTION] STD_COMMUNICATORS
MPI_COMM_WORLD 0x6adb40
[END] STD_COMMUNICATORS
[SECTION] OPS SET
0x6acb40
0x6ae140
[END] OPS SET
[SECTION] DATATYPE SET
0x6ac940 8
0x6ad940 8
0x6ae980 1
0x2aaaab57de00 4
[END] DATATYPE SET
[SECTION] COMMUNICATOR SET
0x6adb40 128
[END] COMMUNICATOR SET
[SECTION] BUFFER SET
0 0
9560672 16
9560688 16
9560704 16
9560720 16
9560736 16
9560752 16
9560768 16
9561280 16
9561360 56
9561368 8
9561376 8
9561384 8
9561392 8
9561400 8
9561408 8
9561744 8
9561752 8
9561760 8
9561768 8
9561776 8
9562872 16
9563056 16
9563088 16
9563808 16
9563824 16
9563840 16
9563856 16
9563872 16
9563888 16
9563904 16
9564480 56
9564488 8
9564496 8
9564504 8
9564512 8
9564520 8
9564544 56
9564600 56
9564656 56
9564712 56
9564768 56
9564824 56
9564880 56
9566624 8
9567312 8
9570984 16
9571808 16
9571824 16
9571832 16
9571840 16
9571856 16
9571872 16
9571888 16
9571904 16
9571920 16
9572496 56
9574704 16
9783456 16
144051952 131072
144051960 131072
144099072 46832
144145904 320
144146224 46800
144183024 131072
144183032 131072
144193024 312
144193336 432
144193768 0
144285104 131072
144314096 1024
144314104 1024
144315120 131072
144315128 131072
144416176 131072
144446192 1024
144446200 1024
144447216 1024
144447224 1024
144448240 8
144448248 8
144448256 131072
144448280 131072
144547248 1024
144548272 131072
144579328 131072
144579352 131072
144599536 76880
144676416 84808
144679344 1024
144680368 1024
144681392 8
144681408 131072
144710400 1024
144710424 1024
144711424 131072
144711448 131072
144761224 808
144762032 81432
144812480 131072
144842496 1024
144842520 1024
144843464 1320
144843520 1024
144843544 1024
144844544 8
144844568 8
144844592 280832
144844784 1640
144943552 1024
144944576 131072
145075648 1024
145076672 1024
145077696 8
145077712 131072
145125424 273608
145208784 131072
145240864 131072
145339856 1024
145340880 131072
145371936 131072
145399032 2232
145401264 276088
145412560 21352
145433912 21288
145455200 296
145455496 21168
145471952 1024
145472976 1024
145474000 8
145476664 360
145477024 328
145503008 1024
145504032 131072
145635104 1024
145636128 1024
145637152 8
145677352 2176
145679528 2152
145681680 24
145727088 21536
145748624 20936
145769560 384
145769944 21216
145791160 336
145791496 352
145791848 8
145856672 21352
145870320 131072
145870328 131072
145878024 21288
145899312 296
145899608 21168
145920776 360
145921136 328
146001392 131072
146001400 131072
146048864 131072
146132464 1024
146132472 1024
146133488 131072
146133496 131072
146179936 131072
146264560 1024
146264568 1024
146265584 1024
146265592 1024
146266608 8
146266616 8
146266640 131072
146311008 1024
146312032 131072
146397712 131072
146407592 148088
146443104 1024
146444128 1024
146445152 8
146445168 131072
146528784 1024
146529808 131072
146555680 1240
146556920 145688
146576240 131072
146660880 1024
146661904 1024
146662928 8
146662944 47120
146702608 872
146703480 1000
146704480 16
146707312 1024
146708336 131072
146710064 46832
146756896 320
146757216 46800
