[SECTION] STD DATATYPES
MPI_C_BOOL 0x2aaaab57c800
MPI_CHAR 0x2aaaab57ea00
MPI_WCHAR 0x2aaaab57cc00
MPI_CHARACTER 0x2aaaab57a800
MPI_UNSIGNED_CHAR 0x2aaaab57e600
MPI_SIGNED_CHAR 0x2aaaab57e800
MPI_INT 0x2aaaab57de00
MPI_LONG 0x2aaaab57da00
MPI_LONG_LONG_INT 0x6ac940
MPI_LONG_LONG 0x6ac940
MPI_SHORT 0x2aaaab57e200
MPI_UNSIGNED_SHORT 0x2aaaab57e000
MPI_UNSIGNED 0x2aaaab57dc00
MPI_UNSIGNED_LONG 0x2aaaab57d800
MPI_UNSIGNED_LONG_LONG 0x2aaaab57d400
MPI_INTEGER 0x2aaaab57a600
MPI_FLOAT 0x2aaaab57d200
MPI_DOUBLE 0x6ad940
MPI_REAL 0x2aaaab57a400
MPI_DOUBLE_PRECISION 0x2aaaab57a200
MPI_LONG_DOUBLE 0x2aaaab57ce00
MPI_LOGICAL 0x2aaaab57aa00
MPI_COMPLEX 0x2aaaab57b600
MPI_DOUBLE_COMPLEX 0x2aaaab57b400
MPI_BYTE 0x6ae980
MPI_PACKED 0x2aaaab57ca00
MPI_INT8_T 0x2aaaab577000
MPI_INT16_T 0x2aaaab576c00
MPI_INT32_T 0x2aaaab576800
MPI_INT64_T 0x2aaaab576400
MPI_UINT8_T 0x2aaaab576e00
MPI_UINT16_T 0x2aaaab576a00
MPI_UINT32_T 0x2aaaab576600
MPI_UINT64_T 0x2aaaab576200
MPI_C_COMPLEX 0x2aaaab57c200
MPI_C_FLOAT_COMPLEX 0x2aaaab57c400
MPI_C_DOUBLE_COMPLEX 0x2aaaab57c000
MPI_C_LONG_DOUBLE_COMPLEX 0x2aaaab57be00
MPI_AINT 0x2aaaab576000
MPI_OFFSET 0x2aaaab575e00
MPI_COUNT 0x2aaaab575c00
MPI_CXX_BOOL 0x2aaaab57c600
MPI_CXX_FLOAT_COMPLEX 0x2aaaab57bc00
MPI_CXX_DOUBLE_COMPLEX 0x2aaaab57ba00
MPI_CXX_LONG_DOUBLE_COMPLEX 0x2aaaab57b800
[END] STD DATATYPES
[SECTION] STD OPS
MPI_MAX 0x6acb40
MPI_MIN 0x2aaaab593700
MPI_SUM 0x6ae140
MPI_PROD 0x2aaaab592700
MPI_LAND 0x2aaaab591f00
MPI_BAND 0x2aaaab591700
MPI_LOR 0x2aaaab590f00
MPI_BOR 0x2aaaab590700
MPI_LXOR 0x2aaaab58ff00
MPI_BXOR 0x2aaaab58f700
MPI_MAXLOC 0x2aaaab58ef00
MPI_MINLOC 0x2aaaab58e700
[END] STD OPS
[SECTION] STD_COMMUNICATORS
MPI_COMM_WORLD 0x6adb40
[END] STD_COMMUNICATORS
[SECTION] OPS SET
0x6acb40
0x6ae140
[END] OPS SET
[SECTION] DATATYPE SET
0x6ac940 8
0x6ad940 8
0x6ae980 1
0x2aaaab57de00 4
[END] DATATYPE SET
[SECTION] COMMUNICATOR SET
0x6adb40 64
[END] COMMUNICATOR SET
[SECTION] BUFFER SET
0 0
9277520 8
9281104 8
9283392 16
9283408 16
9283424 16
9283440 16
9283456 16
9283472 16
9283488 16
9283760 56
9283768 8
9283776 8
9283784 8
9283792 8
9283800 8
9283808 8
9283824 56
9283880 56
9283936 56
9283992 56
9284048 56
9284104 56
9284160 56
9284880 16
9377344 16
66054560 73728
66054568 73728
66066504 11984
66066608 11944
66078488 232
66078720 12016
66080968 26672
66090736 248
66090984 240
66091224 8
66091248 11944
66103192 11984
66107640 144
66107784 27048
66115176 232
66115408 12016
66127424 248
66127672 240
66127912 8
66128288 73728
66128296 73728
66134832 272
66135104 248
66135352 8
66152640 73728
66202016 768
66202024 768
66202784 73728
66202792 73728
66226368 73728
66276512 768
66276520 768
66277280 768
66277288 768
66278048 8
66278056 8
66278064 73728
66278088 73728
66300096 768
66300864 73728
66351792 73728
66351816 73728
66374592 768
66375360 768
66376128 8
66376144 73728
66425520 768
66425544 768
66426288 73728
66426312 73728
66449872 73728
66500016 768
66500040 768
66500784 768
66500808 768
66501552 8
66501576 8
66501600 152928
66523600 768
66524368 73728
66598096 768
66598864 768
66599632 8
66599648 73728
66654528 155080
66673376 73728
66703320 12040
66715360 12080
66725072 73728
66727440 256
66727696 12064
66739760 240
66740000 240
66747104 768
66747872 73728
66798800 73728
66809608 1776
66811384 152816
66821600 768
66822368 768
66823136 8
66872528 768
66873296 73728
66947024 768
66947792 768
66948560 8
66964200 1560
66965760 1456
66967216 8
67046656 73728
67087640 73728
67120384 73728
67161368 73728
67194112 768
67194880 73728
67200304 73728
67235096 768
67235864 73728
67268608 768
67269376 768
67270144 8
67274032 73728
67283792 6176
67289968 6104
67296072 200
67296272 6200
67302472 296
67302768 304
67303088 38928
67309592 768
67310360 768
67311128 8
67311152 73728
67316960 7808
67324768 16872
67341640 17856
67342016 37872
67347760 768
67348528 73728
67352576 12040
67359496 4864
67364360 11640
67364616 12080
67376000 8104
67376696 256
67376952 12064
67379888 1160
67381048 38816
67384104 15688
67384880 73728
67389016 240
67389256 240
67399792 20760
67419864 2088
67420552 4528
67421952 1640
67422256 768
67423024 768
67423792 8
67423808 73728
67425080 15136
67440216 19544
67458608 768
67459376 73728
67459760 3624
67463384 7960
67471344 6008
67477352 8336
67485688 4856
67490544 4472
67495016 5680
67497536 73728
67533104 768
67533872 768
67534640 8
67545072 8
67545080 8
67545088 8
67545096 8
67545104 8
67545112 8
67545120 8
67545128 8
67545136 8
67545152 8
67545160 16
67545176 8
67545184 8
67545192 24
67545216 8
67546368 72
67546440 72
