[SECTION] STD DATATYPES
MPI_C_BOOL 0x2aaaab57b800
MPI_CHAR 0x2aaaab57da00
MPI_WCHAR 0x2aaaab57bc00
MPI_CHARACTER 0x2aaaab579800
MPI_UNSIGNED_CHAR 0x2aaaab57d600
MPI_SIGNED_CHAR 0x2aaaab57d800
MPI_INT 0x2aaaab57ce00
MPI_LONG 0x2aaaab57ca00
MPI_LONG_LONG_INT 0x6ac940
MPI_LONG_LONG 0x6ac940
MPI_SHORT 0x2aaaab57d200
MPI_UNSIGNED_SHORT 0x2aaaab57d000
MPI_UNSIGNED 0x2aaaab57cc00
MPI_UNSIGNED_LONG 0x2aaaab57c800
MPI_UNSIGNED_LONG_LONG 0x2aaaab57c400
MPI_INTEGER 0x2aaaab579600
MPI_FLOAT 0x2aaaab57c200
MPI_DOUBLE 0x6ad940
MPI_REAL 0x2aaaab579400
MPI_DOUBLE_PRECISION 0x2aaaab579200
MPI_LONG_DOUBLE 0x2aaaab57be00
MPI_LOGICAL 0x2aaaab579a00
MPI_COMPLEX 0x2aaaab57a600
MPI_DOUBLE_COMPLEX 0x2aaaab57a400
MPI_BYTE 0x6ae980
MPI_PACKED 0x2aaaab57ba00
MPI_INT8_T 0x2aaaab576000
MPI_INT16_T 0x2aaaab575c00
MPI_INT32_T 0x2aaaab575800
MPI_INT64_T 0x2aaaab575400
MPI_UINT8_T 0x2aaaab575e00
MPI_UINT16_T 0x2aaaab575a00
MPI_UINT32_T 0x2aaaab575600
MPI_UINT64_T 0x2aaaab575200
MPI_C_COMPLEX 0x2aaaab57b200
MPI_C_FLOAT_COMPLEX 0x2aaaab57b400
MPI_C_DOUBLE_COMPLEX 0x2aaaab57b000
MPI_C_LONG_DOUBLE_COMPLEX 0x2aaaab57ae00
MPI_AINT 0x2aaaab575000
MPI_OFFSET 0x2aaaab574e00
MPI_COUNT 0x2aaaab574c00
MPI_CXX_BOOL 0x2aaaab57b600
MPI_CXX_FLOAT_COMPLEX 0x2aaaab57ac00
MPI_CXX_DOUBLE_COMPLEX 0x2aaaab57aa00
MPI_CXX_LONG_DOUBLE_COMPLEX 0x2aaaab57a800
[END] STD DATATYPES
[SECTION] STD OPS
MPI_MAX 0x6acb40
MPI_MIN 0x2aaaab592700
MPI_SUM 0x6ae140
MPI_PROD 0x2aaaab591700
MPI_LAND 0x2aaaab590f00
MPI_BAND 0x2aaaab590700
MPI_LOR 0x2aaaab58ff00
MPI_BOR 0x2aaaab58f700
MPI_LXOR 0x2aaaab58ef00
MPI_BXOR 0x2aaaab58e700
MPI_MAXLOC 0x2aaaab58df00
MPI_MINLOC 0x2aaaab58d700
[END] STD OPS
[SECTION] STD_COMMUNICATORS
MPI_COMM_WORLD 0x6adb40
[END] STD_COMMUNICATORS
[SECTION] OPS SET
0x6acb40
0x6ae140
[END] OPS SET
[SECTION] DATATYPE SET
0x6ac940 8
0x6ad940 8
0x6ae980 1
0x2aaaab57ce00 4
[END] DATATYPE SET
[SECTION] COMMUNICATOR SET
0x6adb40 128
[END] COMMUNICATOR SET
[SECTION] BUFFER SET
0 0
9948432 16
9948448 16
9948464 16
9948480 16
9948496 16
9948512 16
9948528 16
9949120 56
9949128 8
9949136 8
9949144 8
9949152 8
9949160 8
9949168 8
9950224 56
9952128 8
9952136 8
9952144 8
9952152 8
9952160 8
9952168 8
9952176 8
9953408 8
9953416 8
9953424 8
9953432 8
9953440 8
9953448 8
9953456 8
9954304 56
9955056 8
9955712 768
9962432 16
9962464 16
10077040 16
10175760 20000
10195760 20000
10215760 400
10216160 20000
10236160 400
10236560 400
10236960 8
18241696 20000
18261696 20000
18281696 400
18282096 20000
18302096 400
18302496 400
18302896 8
19242624 7904
19250528 7336
19256432 1648
19256440 1648
19257832 16
19257864 240
19258080 1760
19258088 1760
19258104 7872
19258128 408
19259360 464
19259720 16
19259840 128
19259848 128
19259968 1648
19259976 1648
19260336 336
19260672 24
19260696 432
19261128 56
19261184 32
19261216 8
19261616 144
19261624 144
19261648 8
19261656 8
19261664 8
19261672 8
19261680 8
19261688 8
19261696 8
19261760 120
19261768 120
19261880 8
19261888 8
19265976 192
19266168 88
19266256 0
19279344 1648
19279352 1648
19279360 16
19279376 16
19279392 16
19279408 16
19279424 16
19279440 16
19279576 24
19279600 272
19279656 32
19279688 304
19279872 224
19279992 216
19280096 24
19280120 16
19280136 288
19280208 16
19280224 24
19280240 56
19280248 296
19280304 56
19280360 56
19280416 56
19280424 248
19280472 56
19280528 56
19280544 232
19280584 56
19280640 56
19280672 224
19280776 232
19280896 136
19281000 1760
19281008 80
19281032 8
19281040 32
19281072 8
19281088 8
19281096 32
19281128 8
19282760 128
19282888 1648
19284536 144
19284680 120
19284800 8
19284816 16
19285904 8
19286384 1704
19288088 1648
19289736 128
19289864 1736
19291600 160
19291760 112
19291872 8
19291888 56
19291944 56
19292000 56
19292056 56
19292112 56
19292168 56
19292224 56
19292280 56
19292336 56
19292528 8
19293552 56
19293608 56
19293664 56
19293720 56
19293776 56
19293832 56
19293888 56
19293944 56
19296096 8
19296104 8
19296112 8
19296120 8
19296128 8
19296136 8
19296144 8
19296416 768
19296720 3264
19297184 720
19297904 32
19297936 792
19298728 24
19298752 16
19298768 8
19298784 16
19298800 16
19298816 16
19298832 16
19298848 16
19298864 16
19298880 16
19298896 16
19299472 56
19299536 56
19299592 56
19299648 56
19299704 56
19299760 56
19299816 56
19299872 56
19299928 56
19299968 8
19300072 16
19300192 16
20302944 43328
20309832 9656
20313328 3264
20316592 3192
20319488 2264
20319784 152
20319936 3208
20321752 7680
20323144 152
20323296 128
20323424 8
20324208 3664
20327872 21136
20329432 2552
20331984 1608
20333600 8016
20341616 7728
20343936 3272
20346272 42776
20347208 3272
20347720 46392
20349008 18056
20349344 1992
20350480 144
20350624 3144
20351336 7984
20353768 104
20353872 112
20353984 8
20359320 2728
20362048 1432
20363480 1256
20364752 8016
20367064 2664
20369728 3304
20372768 7728
20373032 20680
20380496 1992
20382488 7984
20389048 1024
20390072 41296
20390472 2728
20393200 1432
20393712 18880
20394112 19584
20394632 1256
20412592 18184
20413696 46368
20430776 9664
20431368 912
20432280 760
20433040 16
20440440 1400
20441840 4096
20445936 1400
20460064 19664
20468384 21456
20479728 18856
20489840 18112
20498584 10128
20507952 1144
20508728 1024
20508736 32
20508768 16
20508784 24
20508808 16
20508824 24
20508848 16
20508864 32
20508896 24
20508920 16
20508936 16
20508952 16
20508968 24
20508992 8
20509000 8
20509008 32
20509040 24
20509064 24
20509088 24
20509096 24216
20509112 8
20509120 8
20509128 16
20509144 8
20509152 16
20509168 16
20509184 8
20509192 16
20509208 32
20509240 16
20509256 16
20509272 24
20509296 32
20509328 16
20509344 16
20509360 8
20509368 16
20509384 8
20509392 24
20509416 8
20509424 8
20509432 8
20509440 8
20509448 32
20509480 8
20509488 8
20509496 8
20509504 8
20509512 16
20509528 8
20509752 1032
20510096 0
20510128 40
20510168 0
20510200 24
20510224 40
20510264 0
20510272 32
20510304 16
20510320 0
20510392 16
20510408 56
20510464 0
20510496 80
20510576 16
20510592 16
20510608 0
20510656 40
20510696 32
20510728 24
20510752 40
20510784 312
20510792 24
20510816 0
20510832 40
20510872 24
20510896 0
20511096 1032
20512128 296
20512424 296
20512624 56
20512720 128
20514096 16
20514112 16
20514128 16
20514144 16
20514160 16
20514176 16
20514192 16
20514208 16
20514224 16
20514240 16
20514256 16
20514800 56
20514864 56
20514920 56
20514976 56
20515032 56
20515088 56
20515144 56
20515200 56
20515256 56
20515312 56
20515368 56
20515424 56
20533312 2168
20535480 1248
20536728 368
20537104 21864
20558968 24664
20583632 1376
20585008 22864
20607872 2072
20609944 1376
20611328 21864
20633192 24664
20657856 1376
20659232 22864
20682096 2072
20684168 1376
21338664 768
21339432 720
21340152 32
21340184 792
21340976 24
21341000 16
21341016 8
21341048 768
21341816 864
21342680 16
21342696 792
21343488 16
21343504 8
23343984 21376
23365360 23320
23388680 600
23389280 22488
23411768 368
23412136 344
23412480 0
23412496 20248
23432744 22320
23455064 240
23455304 21688
23476992 240
23477232 520
